pattern,arm,repetition,observed_rows,startup_seconds_known_count,startup_seconds_mean,startup_seconds_sum,startup_seconds_min,startup_seconds_max,request_seconds_known_count,request_seconds_mean,request_seconds_sum,request_seconds_min,request_seconds_max,sequence_gaps_seconds_known_count,sequence_gaps_seconds_mean,sequence_gaps_seconds_sum,sequence_gaps_seconds_min,sequence_gaps_seconds_max,sequence_seconds_known_count,sequence_seconds_mean,sequence_seconds_sum,sequence_seconds_min,sequence_seconds_max,cleanup_seconds_known_count,cleanup_seconds_mean,cleanup_seconds_sum,cleanup_seconds_min,cleanup_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,all_backend_prompt_eval_duration_seconds_known_count,all_backend_prompt_eval_duration_seconds_mean,all_backend_prompt_eval_duration_seconds_sum,all_backend_prompt_eval_duration_seconds_min,all_backend_prompt_eval_duration_seconds_max,all_backend_eval_duration_seconds_known_count,all_backend_eval_duration_seconds_mean,all_backend_eval_duration_seconds_sum,all_backend_eval_duration_seconds_min,all_backend_eval_duration_seconds_max
DDDD,adaptive,1,3,3,2.7934274390000002,8.380282317,2.270411718,3.108900428,3,112.25207224266667,336.756216728,102.977983775,123.147000162,3,0.17770971533333332,0.533129146,0.17122093,0.182843385,3,115.223209397,345.669628191,106.258105133,126.330813718,3,0.20876131533333334,0.626283946,0.204285786,0.213084961,3,236,708,173,311,3,24.029804065666667,72.089412197,22.692526408,25.922388455,3,3.443565,10.330695,2.1426000000000003,4.1303339999999995,3,83.303582,249.91074600000002,73.673737,94.904375
DDDD,adaptive,2,3,3,2.4468649,7.3405947000000005,2.299274984,2.621974036,3,46.51873233733333,139.55619701199998,45.317979665,48.567148109,3,0.203639632,0.610918896,0.182939952,0.226569742,3,49.16923686933333,147.50771060800002,48.153284174,51.187902991,3,0.21390492166666666,0.641714765,0.199972025,0.235756847,3,236,708,173,311,3,22.575118656999997,67.725355971,22.067742167999995,23.271749549,3,3.074695999666667,9.224087999,1.9206689989999999,3.7893220000000003,3,19.274253333333334,57.82276,16.368117,23.023054
DDDD,large,1,3,3,2.366705161,7.100115483,2.299648679,2.43373368,3,116.29529245233334,348.885877357,112.28012635,118.982166035,3,0.16031055,0.48093165,0.15660254,0.166909359,3,118.82230816333333,356.46692449,114.746684388,121.50631891,3,0.22598833,0.67796499,0.208638658,0.248964891,3,235.33333333333334,706,171,311,3,23.982356269333334,71.947068808,23.609180959999996,24.39070604,3,3.393787333333333,10.181362,1.8128309999999999,4.291202,3,87.53027566666667,262.590827,82.81698399999999,91.66491
DDDD,large,2,3,3,2.4672122626666666,7.401636787999999,2.368296564,2.647020967,3,50.13066294633333,150.391988839,44.545374998,60.334469238,3,0.175318962,0.525956886,0.155045025,0.203816367,3,52.773194171,158.319582513,47.080767056,63.185306572,3,0.199862393,0.599587179,0.194997639,0.208325054,3,235.33333333333334,706,171,311,3,22.251369149666665,66.754107449,22.133858306,22.456116834,3,3.1621200000000003,9.486360000000001,1.908092,4.041515,3,23.209414999333333,69.628244998,17.346484,34.579088999999996
DDDD,replay,1,3,3,2.7433724373333335,8.230117312,2.403122612,3.203582925,3,105.162566939,315.487700817,72.37055961,122.090382544,3,0.16674593166666668,0.500237795,0.156480682,0.175884232,3,108.072685308,324.218055924,75.161844266,124.649985838,3,0.20359743666666666,0.61079231,0.19680577,0.209079582,3,248,744,173,347,3,24.37546414766667,73.126392443,23.281586665000003,25.847626959,3,2.2465976666666667,6.739793000000001,1.9646510000000001,2.563355,3,77.63259233333332,232.89777699999996,46.388288,94.63286799999999
DDDD,replay,2,3,3,2.607395916,7.822187747999999,2.413667155,2.867821383,3,42.348150692666664,127.044452078,36.232103076,49.89834729,3,0.185957541,0.5578726230000001,0.17562067,0.20070511,3,45.141504149666666,135.424512449,39.281471302,52.63975161,3,0.200902438,0.602707314,0.188220052,0.208786879,3,241,723,171,328,3,22.250364096,66.751092288,21.940985512999998,22.462275045000002,3,2.0993683333333335,6.2981050000000005,1.917124,2.2554,3,17.039752666666665,51.119258,11.366192999999999,24.448756
DDDD,small,1,3,3,2.4676642786666667,7.402992836,2.290950246,2.771821618,3,18.602275003333332,55.80682501,16.824310943,19.961949721,3,0.15879614333333333,0.47638843,0.140133756,0.173336732,3,21.228735425333333,63.68620627600001,19.288597921,22.442304449,3,0.14300239166666667,0.42900717499999996,0.126164757,0.160251934,3,233.33333333333334,700,170,336,3,8.817144709,26.451434127000002,8.473838312,9.265086231000002,3,1.009681,3.0290429999999997,0.55556,1.358836,3,7.46358,22.39074,5.621410000000001,9.580949
DDDD,small,2,3,3,3.3900759893333334,10.170227968,2.506826129,4.693709506,3,17.54921205766667,52.647636173,16.600994434,18.296863715,3,0.21690796333333334,0.65072389,0.202374924,0.243974856,3,21.156196010333332,63.468588030999996,20.458979077,21.538678796,3,0.13603004999999999,0.40809015000000004,0.127624423,0.14699463,3,233.33333333333334,700,170,336,3,9.380558121,28.141674363,8.813089226,10.27058178,3,0.960587,2.881761,0.617499,1.164095,3,5.742552,17.227656,4.936478,7.187839
DDEE,adaptive,1,3,3,3.865541298,11.596623894,3.317760114,4.458892866,3,77.17183968666666,231.51551906,55.093091264,106.070538398,3,0.18322203866666667,0.549666116,0.16540852,0.215037938,3,81.22060302333334,243.66180907,58.580071036,110.055917832,3,0.148780902,0.446342706,0.14060769,0.154404063,3,174,522,132,234,3,34.133919260666666,102.40175778199999,32.947621297,34.91738861899999,3,5.952432,17.857295999999998,4.137074999999999,7.289441,3,35.31358433333333,105.940753,16.377351,62.529144
DDEE,adaptive,2,3,3,3.3359036233333335,10.00771087,2.938102731,3.600190903,3,90.68058986533333,272.041769596,88.867694851,94.003345837,3,0.17715016,0.53145048,0.170198288,0.190240571,3,94.19364364866667,282.58093094599997,91.996038153,97.774548361,3,0.14863793233333333,0.445913797,0.134850277,0.165197904,3,157.66666666666666,473,132,182,3,35.15202013333333,105.4560604,34.249543598,36.076802512,3,5.980912,17.942736,5.220068,6.487433,3,47.71934666666667,143.15804,44.815233,52.746785
DDEE,large,1,3,3,3.3943884103333333,10.183165231,2.364263624,5.241909736,3,71.51367983766667,214.541039513,45.173537024,122.447603722,3,0.2731232733333333,0.81936982,0.192361998,0.330198028,3,75.18119152133333,225.543574564,49.614360419,125.321405387,3,0.24274640966666666,0.728239229,0.234974294,0.253093857,3,157.33333333333334,472,131,182,3,24.56493396533333,73.694801896,22.924139822,27.725919950999998,3,5.900341333333333,17.701024,4.264174,8.314345,3,39.152468666666664,117.45740599999999,15.400434999999998,83.93637199999999
DDEE,large,2,3,3,2.453370763,7.360112289,2.403301871,2.516608783,3,93.34964753533333,280.04894260599997,83.218556091,104.543972646,3,0.18691183933333333,0.560735518,0.181383149,0.193675805,3,95.98993013766666,287.969790413,85.852433531,107.128657666,3,0.24344546,0.73033638,0.228447283,0.263198904,3,174.66666666666666,524,131,234,3,25.49274239,76.47822717,24.992925447999998,26.13715618,3,6.003249999666667,18.009749999,4.9047859990000005,7.049405,3,60.27885033333334,180.83655100000001,50.170368999999994,71.98707200000001
DDEE,replay,1,3,3,2.7374072259999997,8.212221677999999,2.344176354,3.23494264,3,51.005085238333336,153.015255715,50.113722613,52.770636946,3,0.175621377,0.526864131,0.162437919,0.184206437,3,53.91811384133334,161.754341524,52.637510429,56.189786023,3,0.15320735533333332,0.45962206599999994,0.146443422,0.161732894,3,182.66666666666666,548,132,234,3,32.88753582133333,98.66260746399999,31.484380676999997,34.377689927,3,2.3946863333333335,7.184059000000001,2.307462,2.4403770000000002,3,14.673513666666667,44.020541,12.510542,16.563617
DDEE,replay,2,3,3,2.6636682333333335,7.9910046999999995,2.420306035,2.890867531,3,73.46554567,220.39663701,58.661204323,85.478019788,3,0.16184330633333333,0.485529919,0.152691725,0.166715383,3,76.29105720966668,228.873171629,61.234202083,88.535602702,3,0.14978910666666667,0.44936732,0.123585775,0.168269846,3,183.66666666666666,551,133,234,3,32.75156469666667,98.25469409,31.752792485999997,33.966378476,3,2.149083,6.447249000000001,2.034647,2.210401,3,37.44246566666667,112.32739699999999,23.746848,47.990141
DDEE,small,1,3,3,2.777407694,8.332223081999999,2.471921657,2.967026604,3,17.228091860333333,51.684275580999994,17.00503694,17.572960086,3,0.22787623466666668,0.683628704,0.182844336,0.305865955,3,20.233375789,60.700127367,19.67187701,20.845852645,3,0.16857134133333335,0.505714024,0.157742989,0.181718651,3,169,507,146,209,3,9.267327211666666,27.801981634999997,9.064325306,9.666637178999999,3,1.2331873333333334,3.699562,1.135403,1.3011750000000002,3,5.1080103333333335,15.324031,4.453369,5.677624999999999
DDEE,small,2,3,3,2.943326953666667,8.829980861,2.597103757,3.491849523,3,16.830174121,50.490522363,16.137465357,17.567731634,3,0.16935462466666668,0.508063874,0.162052303,0.176518205,3,19.942855699333332,59.828567098,19.544481432,20.478252581,3,0.15092859233333333,0.452785777,0.13746471,0.163176345,3,169,507,146,209,3,8.785250022666666,26.355750068,8.760441767999998,8.817163948000001,3,0.9792793333333333,2.937838,0.866752,1.045258,3,5.581184666333333,16.743553999,5.019354999999999,6.2739139989999995
EDED,adaptive,1,3,3,2.6106946906666666,7.832084071999999,2.426945141,2.803595029,3,63.16633487166667,189.49900461500002,52.67594668,78.035100547,3,0.17310693,0.5193207900000001,0.169361107,0.177594747,3,65.95013649233333,197.850409477,55.446851689,81.011060512,3,0.23335028866666668,0.700050866,0.226008371,0.24683833,3,184.33333333333334,553,151,215,3,34.32295664633333,102.96886993899999,32.237715320999996,35.897300941,3,3.1426866666666666,9.42806,2.490745,4.154263,3,24.268479333333335,72.80543800000001,16.554827,38.24897300000001
